Date,Description,Amount
2024-10-01,Whole Foods Market,-85.23
2024-10-02,Starbucks Coffee,-5.75
2024-10-03,Shell Gas Station,-45.00
2024-10-05,Netflix Subscription,-15.99
2024-10-07,Amazon Purchase,-127.45
2024-10-08,Target,-63.21
2024-10-10,Uber Ride,-18.50
2024-10-12,Chipotle Mexican Grill,-12.85
2024-10-15,CVS Pharmacy,-32.17
2024-10-18,Salary Deposit,3500.00
2024-10-20,Rent Payment,-1200.00
2024-10-22,Verizon Wireless,-89.99
2024-10-24,Trader Joe's,-94.32
2024-10-25,Movie Theater,-28.00
2024-10-28,Electric Bill,-115.43
2024-10-30,Costco,-156.78
2024-11-01,Whole Foods Market,-72.15
2024-11-03,Starbucks Coffee,-6.25
2024-11-05,Shell Gas Station,-52.00
2024-11-07,Spotify Premium,-10.99
2024-11-10,Amazon Purchase,-89.99
2024-11-12,Target,-45.67
2024-11-15,Salary Deposit,3500.00
2024-11-18,Uber Eats,-35.40
2024-11-20,Rent Payment,-1200.00
2024-11-22,Internet Bill,-65.00
2024-11-24,Trader Joe's,-103.88
2024-11-26,Restaurant Dinner,-87.50
2024-11-28,Gas Station,-48.00
2024-11-30,Grocery Store,-91.23
